group_id,plant_key_name,unit_key_name,type,name,power
179,松浦発電所,１号機,32,1号機,100.0
179,松浦発電所,２号機,33,2号機,70.0
180,苓北発電所,１号機,32,1号機,70.0
180,苓北発電所,２号機,33,2号機,70.0
181,豊前発電所,２号機,50,2号機,50.0
182,苅田発電所,新１号機,33,新1号機,36.0
183,日本製鉄（株） 大分製鐵発電所 第9号発電設備,大分製鐵9号,31,,33.0
184,三池発電所,1,31,,17.5
185,大分 第２発電所,単独,90,,14.94
186,ひびき灘石炭・バイオマス発電所,単独,31,,11.2
187,響灘火力発電所,1号機,31,1号機,11.2
188,小丸川発電所,１号機,21,1号機,30.0
188,小丸川発電所,２号機,21,2号機,30.0
188,小丸川発電所,３号機,21,3号機,30.0
188,小丸川発電所,４号機,21,4号機,30.0
189,天山発電所,１号機,21,1号機,30.0
189,天山発電所,２号機,21,2号機,30.0
190,大平発電所,１号機,21,1号機,25.0
190,大平発電所,２号機,21,2号機,25.0
191,吉の浦1号,1号機,42,1号機,25.1
191,吉の浦2号,2号機,42,2号機,25.1
192,金武1号,1号機,31,1号機,22.0
192,金武2号,2号機,31,2号機,22.0
193,具志川1号,1号機,31,1号機,15.6
